ssn,first_name,last_name,birthdate,gender,address,city,state,department,email,salary
649-82-5432,Estevan,Kincade,2/18/65,Female,75851 Bunker Hill Junction,Huntington,West Virginia,Computers,ekincadem@sfgate.com,30605.65
302-75-1010,Claybourne,O'Suaird,1/20/83,Male,4 Reinke Terrace,Reno,Nevada,Kids,cosuairdn@feedburner.com,23855.88
863-66-1532,Rodrigo,Climer,3/4/74,Male,8203 Dawn Circle,Irvine,California,Beauty,rclimero@mediafire.com,17528
419-70-2507,Scottie,Simione,3/18/84,Female,242 Jackson Lane,South Lake Tahoe,California,Grocery,ssimionep@youku.com,19929.81
387-76-9495,Ringo,Loverock,2/3/99,Female,31 Waywood Circle,Nashville,Tennessee,Toys,rloverockq@shutterfly.com,24273.2
347-60-8935,Vachel,Truran,10/19/68,Female,1416 Longview Parkway,Tampa,Florida,Home,vtruranr@weather.com,20873.28
316-51-1807,Borg,Cattell,9/24/62,Female,44805 Pond Court,Charlotte,North Carolina,Electronics,bcattells@mozilla.org,24482.65
237-27-0905,Alix,Succamore,8/21/86,Female,92120 Northport Terrace,Waterbury,Connecticut,Clothing,asuccamoret@stanford.edu,28370.62
813-34-4198,Erinn,Primrose,4/12/68,Male,8 3rd Street,Bellevue,Washington,Computers,eprimroseu@latimes.com,21845.39
790-21-3324,Myrah,Lineen,3/1/73,Male,56 Banding Court,Springfield,Illinois,Industrial,mlineenv@apple.com,24557.96
260-95-0353,Junia,Loton,2/26/82,Male,4968 Upham Pass,Mc Keesport,Pennsylvania,Kids,jlotonw@bbc.co.uk,23482.23
180-12-3377,Nefen,Allery,10/11/99,Female,3 Bellgrove Circle,Spring,Texas,Jewelry,nalleryx@usnews.com,24874.34
318-92-5497,Jerrilee,Wolseley,6/6/69,Female,3194 Hanover Trail,Jacksonville,Florida,Home,jwolseleyy@weather.com,13037.86
844-90-8669,Orren,Ceresa,1/23/92,Male,12 Messerschmidt Hill,Springfield,Illinois,Garden,oceresaz@yellowpages.com,18439.63
763-33-6054,Mignon,Brann,1/8/99,Female,3954 Valley Edge Trail,Boca Raton,Florida,Electronics,mbrann10@about.com,21400.95
440-12-8913,Ricca,Kingsnorth,2/23/96,Male,88 Kingsford Alley,Tucson,Arizona,Shoes,rkingsnorth11@bravesites.com,18841.4
577-35-4044,Valida,Newbold,11/13/80,Male,912 Farragut Terrace,Tallahassee,Florida,Sports,vnewbold12@wikipedia.org,31325.44
351-06-6933,Rorke,Petrecz,5/16/01,Female,4 Elmside Pass,Fresno,California,Beauty,rpetrecz13@fotki.com,26676.8
252-70-9882,Gates,Petricek,5/15/94,Female,115 Randy Terrace,Shawnee Mission,Kansas,Kids,gpetricek14@csmonitor.com,24190.36
378-85-8996,Miriam,Matteris,5/28/73,Male,10 Gulseth Hill,Wichita Falls,Texas,Music,mmatteris15@buzzfeed.com,31932.66
898-71-6291,Farley,Skippen,8/24/81,Male,03672 Grover Parkway,Orlando,Florida,Clothing,fskippen16@thetimes.co.uk,24993.59
833-12-5128,Free,Wormell,6/7/82,Male,89255 Vermont Plaza,Fresno,California,Computers,fwormell17@themeforest.net,19966.12
877-32-8038,Zollie,Hexter,7/30/75,Male,480 Orin Drive,Houston,Texas,Toys,zhexter18@google.it,26970.9
731-10-8708,Lilia,Quinney,12/23/78,Male,732 Redwing Pass,Phoenix,Arizona,Clothing,lquinney19@cornell.edu,23970.77
796-32-0805,Avram,Habron,11/7/84,Female,793 Village Green Parkway,Washington,District of Columbia,Books,ahabron1a@networksolutions.com,32744.31
630-24-7136,Blondy,Trobey,2/19/99,Male,1 Colorado Circle,New York City,New York,Movies,btrobey1b@devhub.com,20707.39
278-58-2557,Carilyn,Bafford,7/29/64,Male,39606 Forest Dale Way,Richmond,Virginia,Garden,cbafford1c@japanpost.jp,24445.37
633-66-9722,Erma,Peinton,11/13/03,Male,3 Karstens Parkway,Wichita,Kansas,Jewelry,epeinton1d@theatlantic.com,14542.33
330-14-1330,Humphrey,Ransfield,1/21/76,Male,51955 Monica Hill,Memphis,Tennessee,Computers,hransfield1e@addthis.com,22226.45
456-98-8517,Nickie,Vardie,4/10/99,Female,50708 Eagan Road,Grand Rapids,Michigan,Games,nvardie1f@hatena.ne.jp,24858.11
141-91-1379,Lanae,Osselton,7/29/89,Male,73854 Everett Alley,Wichita Falls,Texas,Garden,losselton1g@sciencedirect.com,17112.37
131-19-3752,Fleming,Pykerman,5/15/02,Male,8835 Kings Lane,Spokane,Washington,Garden,fpykerman1h@unblog.fr,18255.36
359-71-8186,Hurleigh,Gawkes,10/24/02,Male,9280 Judy Court,Lincoln,Nebraska,Books,hgawkes1i@squidoo.com,19649.73
605-99-9044,Aurlie,Crumby,7/31/84,Female,2354 Larry Plaza,Palo Alto,California,Garden,acrumby1j@gov.uk,15030.3
189-13-5436,Ranee,Pulman,9/8/75,Male,2177 Amoth Trail,Spokane,Washington,Music,rpulman1k@sciencedaily.com,20276.1
758-57-0534,Dael,Topliss,9/10/98,Female,0195 Esch Plaza,Birmingham,Alabama,Kids,dtopliss1l@usatoday.com,20453.9
861-95-9482,Douglass,Twiggins,10/12/80,Male,68 Kinsman Hill,Fargo,North Dakota,Tools,dtwiggins1m@ucla.edu,24071.04
391-50-0932,Chrystal,Goudman,4/27/65,Female,2366 Cascade Court,Houston,Texas,Grocery,cgoudman1n@photobucket.com,23541.08
410-91-6136,Milena,Liptrod,4/2/00,Female,05 Mandrake Pass,Knoxville,Tennessee,Baby,mliptrod1o@walmart.com,26926.61
625-21-6393,Chryste,Heavy,4/29/71,Male,868 Northview Parkway,Las Vegas,Nevada,Tools,cheavy1p@a8.net,16365.29
100-32-5839,Aaren,Risbridger,5/4/72,Female,30 Village Parkway,Youngstown,Ohio,Clothing,arisbridger1q@cargocollective.com,30322.79
834-23-0075,Garrott,Bennit,4/26/85,Male,354 Westerfield Crossing,Newark,Delaware,Kids,gbennit1r@marriott.com,22354.9
754-38-4536,Corby,Herety,11/11/77,Male,2 Messerschmidt Street,Lake Charles,Louisiana,Kids,cherety1s@va.gov,18975.25
586-63-2469,Balduin,Pudden,11/28/82,Male,1503 Crest Line Junction,Fresno,California,Tools,bpudden1t@gov.uk,19127.02
660-69-0107,Jacobo,Cawdron,1/3/63,Male,6680 Red Cloud Place,Lincoln,Nebraska,Beauty,jcawdron1u@ehow.com,18510.23
477-10-5454,Zak,Ambrosoni,3/3/63,Female,164 8th Crossing,Trenton,New Jersey,Toys,zambrosoni1v@icq.com,18836.69
251-68-2510,Tailor,Pikett,8/17/88,Male,1781 Arkansas Park,Roanoke,Virginia,Clothing,tpikett1w@cargocollective.com,19807.93
146-60-4968,Welsh,Bowmaker,4/1/75,Male,6 Marcy Street,Toledo,Ohio,Home,wbowmaker1x@answers.com,23150.86
882-05-6530,Manda,Huie,11/27/95,Female,168 Center Terrace,New York City,New York,Tools,mhuie1y@narod.ru,20870.48
305-66-3738,Lynnette,Beevors,11/18/67,Male,419 Nelson Lane,Charleston,West Virginia,Clothing,lbeevors1z@gizmodo.com,30571.49
137-63-3759,Broderic,Nelthrop,1/29/81,Male,60 Ilene Drive,Los Angeles,California,Shoes,bnelthrop20@comcast.net,21619.21
313-37-6229,Dyanna,Bartalot,1/19/98,Male,292 Dixon Way,Saint Louis,Missouri,Home,dbartalot21@bravesites.com,23846.59
664-63-7445,L;urette,Sandlin,3/12/73,Male,3 Green Plaza,Seattle,Washington,Music,lsandlin22@symantec.com,25260.37
488-85-6887,Ileane,Potts,12/3/99,Female,1716 Manitowish Circle,Arlington,Virginia,Toys,ipotts23@apple.com,27203.94
650-40-2034,Marietta,Bramwich,5/14/93,Male,66846 Manufacturers Trail,Denver,Colorado,Grocery,mbramwich24@google.ru,26535.55
203-77-2057,Lucinda,Durno,7/6/87,Male,4086 Novick Alley,Houston,Texas,Computers,ldurno25@networksolutions.com,22486.86
275-53-6739,Matthaeus,Franklyn,10/13/80,Male,174 Reindahl Road,Syracuse,New York,Games,mfranklyn26@phoca.cz,21947.68
430-45-0572,Nari,Harrap,8/5/66,Female,6963 Waywood Parkway,Sacramento,California,Beauty,nharrap27@cocolog-nifty.com,24170.58
728-49-9993,Sherwin,Beckmann,10/4/97,Female,1 Erie Avenue,Houston,Texas,Computers,sbeckmann28@about.com,23886.84
267-06-4855,Daffy,Cronkshaw,11/1/78,Female,4 New Castle Park,Amarillo,Texas,Kids,dcronkshaw29@1und1.de,24395.1
654-38-3501,Trevar,Kacheler,3/5/74,Female,9111 Oxford Plaza,Independence,Missouri,Movies,tkacheler2a@hostgator.com,21711.08
791-84-7784,Lexi,Costelow,8/8/69,Female,2 6th Center,Garland,Texas,Beauty,lcostelow2b@buzzfeed.com,17067.44
695-63-4433,Finlay,Kidstoun,12/18/95,Female,24671 Mitchell Terrace,Fargo,North Dakota,Shoes,fkidstoun2c@seesaa.net,19125.85
739-02-9810,Charlton,Attock,10/12/62,Female,09 Maple Terrace,Fort Lauderdale,Florida,Computers,cattock2d@arizona.edu,20414.69
378-42-4714,Ewart,Harly,8/16/68,Male,726 Jana Point,Decatur,Illinois,Garden,eharly2e@deliciousdays.com,26283.88
853-81-9012,Dominick,Tethacot,3/14/03,Male,12351 Lawn Way,Washington,District of Columbia,Baby,dtethacot2f@microsoft.com,22194.02
767-72-6000,Geoff,Duny,4/2/76,Male,77 Bunting Hill,Norwalk,Connecticut,Music,gduny2g@illinois.edu,17350.69
518-17-1221,Rafaelia,Yoxall,6/10/82,Male,97195 Springview Circle,Levittown,Pennsylvania,Grocery,ryoxall2h@trellian.com,23977.84
214-39-4508,Miner,Herity,4/29/64,Female,12445 Dryden Avenue,Bronx,New York,Toys,mherity2i@github.com,23084.13
377-47-9635,Dinny,Cleever,5/11/76,Female,64 Raven Drive,Corpus Christi,Texas,Toys,dcleever2j@toplist.cz,29730.43
282-80-0211,Georgianna,Danihel,1/26/87,Female,85 Parkside Terrace,Los Angeles,California,Outdoors,gdanihel2k@amazon.de,24689.08
497-06-7556,Tim,Izsak,9/18/03,Male,42 Manufacturers Street,Bakersfield,California,Music,tizsak2l@mysql.com,18622.71
885-37-5995,Avigdor,McAlarney,7/23/61,Female,78 Thierer Lane,Colorado Springs,Colorado,Outdoors,amcalarney2m@surveymonkey.com,24285.85
813-84-1349,Cassandra,Kless,6/26/61,Male,93 Clarendon Crossing,Des Moines,Iowa,Sports,ckless2n@nbcnews.com,22704.4
716-04-3348,Desdemona,Clemencet,4/11/92,Male,3258 Hooker Avenue,Springfield,Massachusetts,Baby,dclemencet2o@cdc.gov,27570.29
482-55-1943,Eduardo,Hammond,7/27/96,Female,61 Mandrake Place,Salt Lake City,Utah,Automotive,ehammond2p@google.nl,22174.71
837-16-7677,Tallie,Angrove,12/11/77,Male,680 Truax Drive,Baltimore,Maryland,Clothing,tangrove2q@indiatimes.com,26540.85
808-25-0040,Emogene,Bellefonte,2/22/97,Female,1 Mariners Cove Crossing,Minneapolis,Minnesota,Baby,ebellefonte2r@upenn.edu,23819.65
246-11-5665,Elijah,Maudlin,2/18/81,Male,19472 Monica Park,Saint Paul,Minnesota,Sports,emaudlin2s@prweb.com,38198.44
220-29-2094,Ethelyn,Shorrock,5/31/86,Male,525 Schurz Alley,Washington,District of Columbia,Health,eshorrock2t@parallels.com,26086.56
330-82-5169,Ban,Talton,8/6/78,Male,0 Schlimgen Parkway,Anderson,South Carolina,Home,btalton2u@scribd.com,14885.31
659-45-1959,Maison,Margett,7/11/75,Female,37 Warrior Point,Louisville,Kentucky,Kids,mmargett2v@unblog.fr,25722.72
847-18-3996,Kylie,Viger,1/17/87,Male,55705 Dryden Hill,Birmingham,Alabama,Music,kviger2w@qq.com,21987.15
672-50-5925,Dorian,Eytel,7/14/76,Male,5 Meadow Vale Hill,Bronx,New York,Games,deytel2x@rediff.com,23806.4
244-43-6836,Natale,Kits,7/27/02,Male,35 Columbus Circle,Cleveland,Ohio,Jewelry,nkits2y@liveinternet.ru,28423.19
557-95-0462,Agretha,Ber,10/24/99,Female,14 Parkside Trail,Augusta,Georgia,Sports,aber2z@opera.com,14129.56
187-28-7106,Tonnie,Caslin,8/6/02,Male,60872 Hollow Ridge Street,Fort Wayne,Indiana,Automotive,tcaslin30@java.com,21241.94
457-28-1462,Loy,Alten,12/5/70,Female,02221 Glendale Lane,Chattanooga,Tennessee,Tools,lalten31@alexa.com,13651.36
803-62-8255,Allin,O'Hern,7/30/95,Male,5776 Village Green Road,Atlanta,Georgia,Industrial,aohern32@tumblr.com,17728.24
670-59-1259,Katina,Culshew,7/7/84,Female,08280 Sycamore Drive,Santa Barbara,California,Computers,kculshew33@answers.com,18014.25
845-33-9078,Gare,Flindall,10/26/70,Female,9361 Holy Cross Point,Anniston,Alabama,Baby,gflindall34@house.gov,19664.41
869-38-4801,Emlyn,O'Caherny,7/14/97,Male,14392 Kim Center,Corona,California,Books,eocaherny35@booking.com,18244.32
474-37-7415,Patrice,Matusevich,5/9/78,Male,004 Briar Crest Park,Salt Lake City,Utah,Toys,pmatusevich36@eventbrite.com,20933.06
337-23-8437,Syd,Enoksson,6/29/01,Female,6 Schurz Avenue,Albuquerque,New Mexico,Grocery,senoksson37@gravatar.com,24873.62
497-47-4937,Teodor,Blown,4/1/75,Male,8143 Carey Plaza,San Jose,California,Shoes,tblown38@usgs.gov,28961.11
545-26-3286,Shalne,Give,8/25/83,Male,197 Glendale Pass,Bryan,Texas,Toys,sgive39@github.io,27146.41
851-29-5079,Erda,Dreamer,9/6/66,Male,30553 Namekagon Pass,Dallas,Texas,Industrial,edreamer3a@diigo.com,31545.38
796-44-6787,Bev,Petzolt,8/25/76,Male,34011 Derek Crossing,Houston,Texas,Shoes,bpetzolt3b@nba.com,20395
221-91-6004,Kinna,Van Geffen,5/28/86,Female,4763 Loomis Avenue,Washington,District of Columbia,Movies,kvangeffen3c@typepad.com,26851.31
319-60-7193,Dulciana,Veitch,3/25/03,Female,38488 Red Cloud Center,San Jose,California,Beauty,dveitch3d@globo.com,25108.97
401-16-7290,Rafaelia,Ferrao,3/31/79,Male,4 Northport Pass,Seattle,Washington,Jewelry,rferrao3e@blogger.com,26991.93
586-81-2676,Astrid,Jeffryes,11/8/90,Female,552 Armistice Crossing,Anchorage,Alaska,Automotive,ajeffryes3f@imageshack.us,31474.96
613-28-3877,Matthiew,Cramphorn,4/25/82,Female,54 Garrison Crossing,Las Vegas,Nevada,Toys,mcramphorn3g@smugmug.com,27157.99
387-91-2016,Anni,Peyton,2/13/00,Male,58625 Montana Trail,San Francisco,California,Clothing,apeyton3h@unc.edu,23029.75
194-34-0385,Chad,Paggitt,4/4/74,Female,3438 Ohio Hill,Springfield,Illinois,Books,cpaggitt3i@usgs.gov,19802.34
257-97-4715,Shelley,Leeder,10/8/64,Female,0627 Fuller Plaza,Grand Rapids,Michigan,Health,sleeder3j@weibo.com,14704.5
218-25-7449,Charlotte,Wartnaby,5/13/63,Male,44708 Ronald Regan Road,Fort Pierce,Florida,Tools,cwartnaby3k@wikipedia.org,26862.35
155-62-5652,Trenna,Lade,6/15/90,Female,411 Center Terrace,Washington,District of Columbia,Computers,tlade3l@desdev.cn,25215.75
757-60-5622,Inger,Butner,2/28/79,Female,65 Forest Run Circle,Colorado Springs,Colorado,Garden,ibutner3m@prweb.com,29728.78
736-05-5098,Sascha,Longbothom,12/28/89,Male,29 Drewry Trail,Virginia Beach,Virginia,Outdoors,slongbothom3n@webs.com,28480.43
330-99-7586,Joya,Willars,3/16/63,Female,43 Bellgrove Court,Bloomington,Indiana,Home,jwillars3o@admin.ch,20612.25
524-89-2092,Sheelagh,Granger,8/15/75,Male,76 Stuart Court,Washington,District of Columbia,Jewelry,sgranger3p@marketwatch.com,27626.29
706-29-3279,Winona,Roumier,4/4/61,Female,0642 Schlimgen Way,Phoenix,Arizona,Grocery,wroumier3q@hatena.ne.jp,16977.03
274-27-3741,Kelley,Malloch,5/6/79,Female,7638 Warrior Park,Naples,Florida,Kids,kmalloch3r@privacy.gov.au,29428.12
105-18-1341,Richardo,Deerness,8/16/76,Male,0 Kim Avenue,Cleveland,Ohio,Home,rdeerness3s@boston.com,36710.08
488-72-6449,Tymon,Hofer,2/26/81,Female,177 Old Shore Park,North Little Rock,Arkansas,Garden,thofer3t@ed.gov,24349.32
549-44-6177,Joey,Filyaev,6/22/83,Male,1 Pond Lane,Columbia,Missouri,Books,jfilyaev3u@webnode.com,35899.24
832-33-2906,La verne,Domney,6/23/97,Male,63 Gateway Way,Johnson City,Tennessee,Garden,ldomney3v@engadget.com,30003.61
452-74-2363,Dev,Cansdill,5/8/62,Male,513 Moland Street,Pompano Beach,Florida,Sports,dcansdill3w@chicagotribune.com,23980.31
321-02-8822,Nata,Canet,9/21/82,Male,72524 Summer Ridge Trail,Atlanta,Georgia,Sports,ncanet3x@i2i.jp,28965.31
156-53-9662,Zebedee,Skittreal,10/4/88,Male,7 Hudson Drive,Newark,Delaware,Garden,zskittreal3y@hp.com,15597.23
181-86-0426,Sharona,Dallimore,2/22/72,Male,2 6th Center,Southfield,Michigan,Health,sdallimore3z@rambler.ru,22354.61
795-65-7215,Tam,Colaco,4/16/84,Male,8 Longview Center,Fort Myers,Florida,Beauty,tcolaco40@statcounter.com,19807.05
236-59-3381,Benn,Latour,7/18/78,Male,196 Boyd Trail,Humble,Texas,Books,blatour41@nifty.com,22567.2
583-19-3873,Berti,Bricksey,7/25/74,Male,070 Barnett Park,El Paso,Texas,Clothing,bbricksey42@sogou.com,24808.36
171-42-2469,Turner,Gohn,10/17/96,Male,73984 Pankratz Road,Houston,Texas,Automotive,tgohn43@dmoz.org,17899.36
697-31-6732,Ludovico,Croall,6/1/99,Female,16 International Park,Washington,District of Columbia,Home,lcroall44@archive.org,25583.61
444-98-5340,Bartolomeo,Nevin,3/11/68,Male,2291 Victoria Terrace,Sparks,Nevada,Kids,bnevin45@bluehost.com,27551.23
689-35-9533,Harald,Redborn,3/12/98,Female,5 Vahlen Junction,Dallas,Texas,Games,hredborn46@slate.com,20513.94
731-15-1272,Clio,Kubacek,9/30/63,Male,289 Warbler Trail,Buffalo,New York,Computers,ckubacek47@exblog.jp,26679.69
771-83-8101,Mary,Vickress,1/4/79,Female,7524 Hazelcrest Alley,Woburn,Massachusetts,Automotive,mvickress48@cafepress.com,20515.85
180-08-6054,Idette,Huntington,8/30/99,Female,7171 Anderson Pass,Pittsburgh,Pennsylvania,Baby,ihuntington49@myspace.com,21960.59
692-87-7481,Willi,Baversor,2/3/63,Female,914 2nd Hill,Saint Joseph,Missouri,Books,wbaversor4a@devhub.com,24255.09
327-63-9699,Cordula,Lahiff,12/16/98,Female,9 East Road,Columbia,Missouri,Sports,clahiff4b@tiny.cc,22091.74
410-66-5492,Burgess,Wittleton,10/20/82,Female,1 Kipling Parkway,Salt Lake City,Utah,Health,bwittleton4c@mashable.com,21388.53
826-97-4617,Rebecka,Gwinnell,9/6/62,Female,02 Atwood Crossing,Syracuse,New York,Movies,rgwinnell4d@yolasite.com,21092
743-52-0771,Erv,Sudron,9/20/62,Female,8919 Columbus Junction,Scottsdale,Arizona,Automotive,esudron4e@msu.edu,31612.53
719-76-5329,Estrella,Tilliards,9/18/68,Female,88149 Schlimgen Circle,Shawnee Mission,Kansas,Garden,etilliards4f@simplemachines.org,18735.14
517-35-2876,Stanwood,Sprules,3/8/69,Female,868 Fisk Plaza,Phoenix,Arizona,Music,ssprules4g@mapy.cz,16568.84
695-71-7967,Ody,Grigoriev,11/6/93,Female,0 Grover Avenue,Jeffersonville,Indiana,Health,ogrigoriev4h@1und1.de,21488.18
738-29-9881,Red,Edmans,5/19/81,Female,73210 Lillian Plaza,Los Angeles,California,Health,redmans4i@wix.com,21577.15
151-95-7935,Fredra,Heazel,9/26/83,Female,6 Little Fleur Pass,Yonkers,New York,Music,fheazel4j@google.com.hk,23072.67
323-56-5971,Lilli,Scading,2/13/76,Male,177 Macpherson Terrace,Huntsville,Alabama,Movies,lscading4k@pcworld.com,27199.81
284-11-7150,Frank,Gatling,2/14/90,Female,513 Armistice Lane,Oklahoma City,Oklahoma,Home,fgatling4l@vistaprint.com,16585.09
668-52-6187,Frederic,Churly,2/21/64,Male,26918 Buell Parkway,Saint Paul,Minnesota,Music,fchurly4m@vistaprint.com,18515.5
318-26-4003,Cyrille,Tillerton,1/17/90,Female,0 Cordelia Circle,Los Angeles,California,Automotive,ctillerton4n@newsvine.com,19188.83
249-88-1992,Rayshell,Gooders,8/25/62,Female,232 Bayside Trail,Pensacola,Florida,Health,rgooders4o@aol.com,23698.23
575-62-5599,Evaleen,Smye,9/18/79,Female,4 Anzinger Street,Huntsville,Alabama,Automotive,esmye4p@bloomberg.com,17853.35
537-57-2215,Lonna,Broadhurst,2/20/97,Male,1 Lyons Parkway,Baltimore,Maryland,Garden,lbroadhurst4q@edublogs.org,19641.58
414-70-5503,Lee,Dilrew,7/31/74,Male,43 Burning Wood Street,Bakersfield,California,Baby,ldilrew4r@posterous.com,23141.11
341-90-4690,Caryn,Carruth,2/25/00,Male,5063 Burning Wood Way,San Rafael,California,Beauty,ccarruth4s@ted.com,22511.19
760-92-3545,Shane,Rushbrook,9/27/63,Male,68415 Erie Parkway,Topeka,Kansas,Games,srushbrook4t@bbb.org,31420.43
312-54-8688,Florenza,Brittlebank,8/14/92,Female,4197 Scoville Trail,Naples,Florida,Computers,fbrittlebank4u@mozilla.org,20021.25
607-63-7955,Celle,Runcie,1/3/82,Female,4 Corry Circle,Fresno,California,Automotive,cruncie4v@mac.com,20238.5
728-25-3295,Lynne,Yelden,5/9/70,Male,81 4th Pass,Birmingham,Alabama,Garden,lyelden4w@tiny.cc,27233.41
586-77-2274,Ray,Thairs,7/30/81,Female,1 Schlimgen Center,Boston,Massachusetts,Games,rthairs4x@businesswire.com,20627.69
387-31-0416,George,Kesteven,7/23/92,Male,81480 Schmedeman Plaza,Fort Lauderdale,Florida,Home,gkesteven4y@godaddy.com,23472.46
233-55-4527,Tatum,Boyce,7/3/00,Male,327 Calypso Plaza,Austin,Texas,Kids,tboyce4z@networkadvertising.org,28849.28
317-60-0476,Ichabod,Biasi,11/22/91,Male,48565 Grayhawk Alley,Brooklyn,New York,Jewelry,ibiasi50@narod.ru,24210.8
120-25-1903,Donielle,Larmor,9/14/66,Female,959 Independence Hill,Akron,Ohio,Home,dlarmor51@free.fr,23687.59
353-82-9961,Drucy,Piscot,6/8/93,Female,7058 Green Ridge Way,Los Angeles,California,Jewelry,dpiscot52@statcounter.com,21323.52
893-11-4119,Christoper,Davidou,6/20/02,Female,85481 Magdeline Avenue,Sacramento,California,Tools,cdavidou53@joomla.org,13760.75
612-07-9966,Caralie,Stanyland,1/18/61,Female,2 Hanover Plaza,Portland,Oregon,Books,cstanyland54@digg.com,21965.79
267-45-5438,Cozmo,Le Leu,4/29/79,Female,13 Lawn Park,Boston,Massachusetts,Outdoors,cleleu55@eepurl.com,17253.69
468-04-8389,Mirabel,Vazquez,9/2/02,Female,96264 Sherman Terrace,Las Vegas,Nevada,Books,mvazquez56@hibu.com,23249.33
795-07-4922,Kerwin,Crates,4/12/76,Male,180 Golf Course Drive,Frankfort,Kentucky,Shoes,kcrates57@tuttocitta.it,27355.44
834-26-6559,Vickie,Lehr,1/27/00,Female,4311 Lerdahl Way,Phoenix,Arizona,Garden,vlehr58@hud.gov,26368.22
824-40-9337,Ann-marie,McDuff,1/30/65,Female,710 Portage Pass,Fort Worth,Texas,Industrial,amcduff59@facebook.com,21266.08
271-98-6537,Dorelia,Pulham,2/13/63,Male,808 Lawn Junction,Columbia,South Carolina,Computers,dpulham5a@so-net.ne.jp,17363.81
263-51-9312,Wilhelmina,Merrydew,12/2/67,Female,0 Mosinee Plaza,Charlotte,North Carolina,Music,wmerrydew5b@surveymonkey.com,22850.53
434-12-7733,Janaya,Bradtke,3/10/96,Male,8 Scott Street,Battle Creek,Michigan,Beauty,jbradtke5c@networksolutions.com,25140.98
723-01-9854,Wynne,Prier,10/9/73,Male,149 Mosinee Point,Pasadena,California,Music,wprier5d@quantcast.com,16140.96
429-31-2518,Rourke,Dosdill,12/31/70,Female,60513 Gerald Hill,Dayton,Ohio,Automotive,rdosdill5e@nasa.gov,12422.35
260-02-0676,Catherine,Elfleet,1/19/95,Female,5714 Kensington Plaza,Austin,Texas,Home,celfleet5f@washington.edu,19964.36
413-27-6834,Kinny,Hubbis,10/3/89,Male,63987 Vidon Way,Merrifield,Virginia,Clothing,khubbis5g@skyrock.com,24043.71
488-87-2243,Katharine,Rentoul,9/23/78,Male,783 Holmberg Drive,Portland,Oregon,Health,krentoul5h@skyrock.com,19810.75
